status,card_present_flag,txn_description,balance,gender,age,merchant_state,extraction,amount,movement
authorized,1,POS,35.39,F,26,QLD,2018-08-01T01:01:15.000+0000,16.25,debit
authorized,0,SALES-POS,21.2,F,26,NSW,2018-08-01T01:13:45.000+0000,14.19,debit
authorized,1,POS,5.71,M,38,NSW,2018-08-01T01:26:15.000+0000,6.42,debit
authorized,1,SALES-POS,2117.22,F,40,QLD,2018-08-01T01:38:45.000+0000,40.9,debit
authorized,1,SALES-POS,17.95,F,26,QLD,2018-08-01T01:51:15.000+0000,3.25,debit
posted,,PAYMENT,1705.43,M,20,,2018-08-01T02:00:00.000+0000,163,debit
authorized,1,SALES-POS,1248.36,F,43,VIC,2018-08-01T02:23:04.000+0000,61.06,debit
authorized,1,POS,1232.75,F,43,VIC,2018-08-01T04:11:25.000+0000,15.61,debit
authorized,1,POS,213.16,F,27,WA,2018-08-01T04:40:00.000+0000,19.25,debit
posted,,INTER BANK,466.58,M,40,,2018-08-01T06:00:00.000+0000,21,debit
posted,,PAYMENT,4348.5,M,19,,2018-08-01T06:00:00.000+0000,27,debit
posted,,PAYMENT,1203.75,F,43,,2018-08-01T06:00:00.000+0000,29,debit
authorized,1,SALES-POS,207.08,F,27,WA,2018-08-01T06:06:40.000+0000,6.08,debit
posted,,INTER BANK,4438.16,M,23,,2018-08-01T07:00:00.000+0000,25,debit
posted,,INTER BANK,173.66,M,43,,2018-08-01T07:00:00.000+0000,39,debit
authorized,1,POS,2.85,M,30,QLD,2018-08-01T07:20:48.000+0000,10.79,debit
posted,,INTER BANK,260514.83,M,46,,2018-08-01T08:00:00.000+0000,22,debit
posted,,PAYMENT,3117.94,F,26,,2018-08-01T08:00:00.000+0000,55,debit
posted,,PAYMENT,38.31,F,47,,2018-08-01T08:00:00.000+0000,58,debit
authorized,1,POS,708.28,F,24,VIC,2018-08-01T08:00:11.000+0000,7.37,debit
authorized,1,POS,3.85,F,26,NSW,2018-08-01T08:09:42.000+0000,14.1,debit
authorized,0,POS,275.93,M,37,NSW,2018-08-01T08:19:14.000+0000,24.77,debit
authorized,1,SALES-POS,259.37,F,25,WA,2018-08-01T08:28:45.000+0000,13.67,debit
authorized,0,POS,30583.15,F,43,VIC,2018-08-01T08:47:48.000+0000,12.08,debit
authorized,1,POS,793.64,M,21,NSW,2018-08-01T08:57:20.000+0000,72.12,debit
posted,,INTER BANK,4474.38,F,39,,2018-08-01T09:00:00.000+0000,25,debit
posted,,PAYMENT,586.2,M,31,,2018-08-01T09:00:00.000+0000,36,debit
authorized,1,SALES-POS,1636.91,F,19,NSW,2018-08-01T09:02:54.000+0000,17.96,debit
authorized,1,SALES-POS,11525.54,M,24,QLD,2018-08-01T09:06:57.000+0000,14.49,debit
authorized,0,SALES-POS,1625.34,F,19,NSW,2018-08-01T09:11:00.000+0000,11.57,debit
authorized,1,POS,2072.1,F,40,QLD,2018-08-01T09:15:03.000+0000,45.12,debit
authorized,0,POS,12529.59,F,34,SA,2018-08-01T09:19:06.000+0000,33.89,debit
authorized,1,SALES-POS,698.61,F,24,VIC,2018-08-01T09:23:09.000+0000,9.67,debit
authorized,1,POS,2086.31,M,25,QLD,2018-08-01T09:27:12.000+0000,4.38,debit
