Loan_ID,Interest_Rate
10164310,3
10164311,2
10164312,3
10164313,2
10164314,2
10164315,3
10164316,3
10164317,3
10164318,2
10164319,3
10164320,2
10164321,3
10164322,1
10164323,2
10164324,2
10164325,2
10164326,1
10164327,3
10164328,3
10164329,2
10164330,2
10164331,3
10164332,3
10164333,2
10164334,3
10164335,3
10164336,3
10164337,3
10164338,3
10164339,1
10164340,2
10164341,2
10164342,1
10164343,1
10164344,3
10164345,2
10164346,2
10164347,3
10164348,2
10164349,2
10164350,2
10164351,3
10164352,2
10164353,2
10164354,2
10164355,2
10164356,2
10164357,2
10164358,3
10164359,2
10164360,2
10164361,2
10164362,2
10164363,3
10164364,1
10164365,2
10164366,1
10164367,2
10164368,1
10164369,3
10164370,3
10164371,3
10164372,3
10164373,3
10164374,1
10164375,1
10164376,2
10164377,2
10164378,2
10164379,1
10164380,3
10164381,2
10164382,2
10164383,3
10164384,3
10164385,2
10164386,2
10164387,3
10164388,3
10164389,2
10164390,2
10164391,2
10164392,2
10164393,2
10164394,1
10164395,3
10164396,1
10164397,2
10164398,1
10164399,2
10164400,3
10164401,2
10164402,1
10164403,3
10164404,1
10164405,1
10164406,2
10164407,3
10164408,2
10164409,3
10164410,1
10164411,2
10164412,2
10164413,2
10164414,2
10164415,3
10164416,3
10164417,2
10164418,2
10164419,3
10164420,3
10164421,1
10164422,3
10164423,3
10164424,3
10164425,2
10164426,3
10164427,3
10164428,2
10164429,3
10164430,3
10164431,3
10164432,1
10164433,2
10164434,2
10164435,2
10164436,3
10164437,3
10164438,3
10164439,2
10164440,1
10164441,3
10164442,2
10164443,3
10164444,1
10164445,2
10164446,2
10164447,1
10164448,2
10164449,2
10164450,2
10164451,3
10164452,3
10164453,2
10164454,2
10164455,2
10164456,2
10164457,1
10164458,1
10164459,3
10164460,3
10164461,3
10164462,2
10164463,3
10164464,1
10164465,3
10164466,3
10164467,1
10164468,2
10164469,2
10164470,1
10164471,3
10164472,2
10164473,3
10164474,3
10164475,2
10164476,2
10164477,3
10164478,3
10164479,3
10164480,2
10164481,1
10164482,3
10164483,2
10164484,2
10164485,3
10164486,2
10164487,3
10164488,3
10164489,2
10164490,3
10164491,3
10164492,2
10164493,3
10164494,2
10164495,2
10164496,2
10164497,3
10164498,2
10164499,2
10164500,2
10164501,3
10164502,3
10164503,2
10164504,3
10164505,3
10164506,3
10164507,3
10164508,3
10164509,2
10164510,3
10164511,3
10164512,3
10164513,1
10164514,1
10164515,1
10164516,2
10164517,3
10164518,1
10164519,3
10164520,2
10164521,3
10164522,1
10164523,3
10164524,1
10164525,1
10164526,3
10164527,1
10164528,3
10164529,3
10164530,3
10164531,3
10164532,2
10164533,2
10164534,1
10164535,3
10164536,2
10164537,3
10164538,2
10164539,2
10164540,2
10164541,3
10164542,3
10164543,3
10164544,3
10164545,2
10164546,3
10164547,2
10164548,1
10164549,3
10164550,1
10164551,3
10164552,3
10164553,2
10164554,2
10164555,2
10164556,1
10164557,1
10164558,3
10164559,3
10164560,3
10164561,3
10164562,2
10164563,2
10164564,3
